Table: Model coefficients by explanatory variable,,,
,,,
Crop selection,Variable,RDA1,RDA2
,9,0.23,-0.22
,11,-0.26,0.05
,14,0.23,-0.22
,17,-0.26,0.05
,18,-0.26,0.05
,22,-0.26,0.05
,23,0.23,-0.22
,24,-0.26,0.05
,29,-0.26,0.05
,32,0.23,-0.22
,38,0.23,-0.22
,46,-0.26,0.05
,48,0.23,-0.22
,49,0.5,0.27
,50,0.23,-0.22
,52,0.5,0.27
,53,0.5,0.27
,54,-0.26,0.05
,55,-0.26,0.05
,57,-0.26,0.05
,64,-0.26,0.05
,65,0.23,-0.22
,66,0.5,0.27
Sorghum cultivation,Community,RDA1,RDA2
,1,-0.26,N/A
,2,-0.26,N/A
,3,0.14,N/A
,4,-0.26,N/A
,5,0.14,N/A
,6,-0.26,N/A
,8,0.32,N/A
,9,0.14,N/A
,10,0.32,N/A
,11,-0.26,N/A
,14,0.14,N/A
,15,-0.26,N/A
,16,-0.26,N/A
,17,-0.26,N/A
,18,-0.26,N/A
,19,0.14,N/A
,20,0.32,N/A
,21,0.14,N/A
,22,-0.26,N/A
,23,0.14,N/A
,24,-0.26,N/A
,26,0.14,N/A
,27,0.14,N/A
,29,0.32,N/A
,30,0.14,N/A
,31,-0.26,N/A
,32,0.14,N/A
,33,0.02,N/A
,34,0.32,N/A
,35,0.02,N/A
,36,-0.26,N/A
,37,-0.26,N/A
,38,0.14,N/A
,39,0.14,N/A
,41,0.14,N/A
,42,0.14,N/A
,45,0.32,N/A
,46,-0.26,N/A
,47,0.02,N/A
,49,0.32,N/A
,50,0.14,N/A
,51,0.32,N/A
,53,0.14,N/A
,54,-0.26,N/A
,55,-0.26,N/A
,56,-0.26,N/A
,57,-0.26,N/A
,61,-0.26,N/A
,63,0.14,N/A
,67,0.14,N/A
,68,0.14,N/A
,69,0.32,N/A
,70,-0.26,N/A
,71,-0.26,N/A
,72,0.02,N/A
