ID,X,Y,area,element,Al2O3,FeO,MgO,Cr2O3,Bal,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Zn,Rb,Sr,Zr,Ba
SA036,371383.9792,7217629.993,A,undetermined,0.31,2.928,0,0.012,91.134,0.164,3.805,0.781,0.089,0.059,0.83,0.457,0.272,0.007,0.008,0.063,2.276,0.002,0.002,LOD,0.029,0.016
SA037,371385.8695,7217630.119,A,undetermined,0.367,3.424,0,0.011,90.383,0.194,3.945,0.79,0.089,0.058,0.906,0.53,0.281,0.009,0.008,0.083,2.661,0.003,0.002,0.002,0.029,0.024
SA038,371385.7826,7217628.166,A,undetermined,0.281,2.903,0,0.011,91.232,0.149,3.66,0.825,0.089,0.058,0.818,0.519,0.268,0.006,0.007,0.058,2.256,0.003,0.002,0.002,0.026,0.021
SA039,371385.7032,7217626.199,A,undetermined,0.36,3.601,0,0.016,90.433,0.19,3.32,0.798,0.103,0.057,0.98,0.809,0.309,0.01,0.011,0.118,2.799,0.007,0.003,0.002,0.023,0.024
SA04,371379.8614,7217621.82,A,undetermined,0.259,3.032,0,0.012,90.82,0.137,4.102,0.829,0.096,0.068,0.783,0.393,0.27,0.008,0.008,0.066,2.357,0.003,0.002,LOD,0.031,0.023
SA040,371385.7934,7217624.145,A,undetermined,0.398,3.638,0,0.011,90.172,0.211,3.512,0.823,0.095,0.063,0.894,0.926,0.262,0.01,0.008,0.131,2.828,0.006,0.003,0.002,0.026,0.024
SA041,371385.8081,7217622.135,A,midden_1,0.335,3.207,0,0.011,89.08,0.177,3.18,0.771,0.089,0.057,0.761,2.975,0.245,0.008,0.007,0.094,2.493,0.006,0.002,0.004,0.026,0.022
SA042,371385.9411,7217620.117,A,midden_1,0.351,3.489,0,0.013,86.96,0.186,2.813,0.768,0.091,0.058,0.859,5.103,0.254,0.009,0.009,0.107,2.712,0.005,0.003,0.006,0.028,0.025
SA043,371387.8571,7217620.129,A,midden_1,0.388,3.14,0,0.011,86.932,0.206,2.761,0.766,0.079,0.055,0.781,5.572,0.221,0.007,0.007,0.101,2.441,0.005,0.003,0.007,0.027,0.024
SA044,371387.7251,7217622.058,A,midden_1,0.398,3.532,0.392,0.013,88.116,0.211,3.32,0.79,0.092,0.061,0.786,3.194,0.261,0.007,0.009,0.099,2.746,0.005,0.003,0.005,0.034,0.023
SA045,371387.6723,7217624.055,A,undetermined,0.289,3.248,0,0.012,90.297,0.153,3.617,0.842,0.094,0.059,0.822,1.178,0.239,0.01,0.008,0.089,2.525,0.005,0.003,0.002,0.023,0.03
SA046,371387.7333,7217626.076,A,undetermined,0.314,3.321,0,0.014,90.896,0.166,3.337,0.809,0.095,0.059,0.869,0.738,0.269,0.01,0.01,0.103,2.581,0.005,0.003,0.002,0.023,0.02
SA047,371387.7116,7217628.023,A,undetermined,0.347,3.038,0.357,0.011,90.732,0.184,3.771,0.82,0.09,0.059,0.817,0.551,0.261,0.007,0.008,0.069,2.361,0.004,0.002,LOD,0.025,0.02
SA048,371387.7799,7217630.053,A,undetermined,0.369,3.201,0,0.009,90.961,0.195,3.619,0.772,0.091,0.058,0.816,0.584,0.268,0.008,0.006,0.071,2.488,0.004,0.002,0.002,0.03,0.022
SA049,371389.8226,7217629.951,A,undetermined,0.34,2.972,0,0.01,90.87,0.18,3.995,0.816,0.095,0.233,0.716,0.349,0.295,0.005,0.007,0.066,2.31,0.003,0.002,LOD,0.034,0.022
SA05,371381.8211,7217621.832,A,undetermined,0.302,3.313,0,0.014,90.724,0.16,3.65,0.789,0.09,0.066,0.85,0.69,0.263,0.007,0.009,0.068,2.575,0.005,0.002,0.002,0.028,0.02
SA050,371389.7177,7217627.989,A,undetermined,0.261,2.944,0,0.016,91.164,0.138,3.713,0.802,0.09,0.062,0.797,0.514,0.285,0.007,0.011,0.072,2.288,0.003,0.002,LOD,0.024,0.023
SA051,371389.7553,7217626.073,A,undetermined,0.347,3.63,0,0.015,90.455,0.184,3.349,0.804,0.1,0.07,0.885,0.846,0.283,0.01,0.01,0.125,2.821,0.006,0.003,0.002,0.024,0.019
SA052,371389.7419,7217624.057,A,undetermined,0.344,3.568,0,0.013,90.243,0.182,3.213,0.796,0.101,0.094,1.156,0.998,0.259,0.011,0.009,0.103,2.773,0.006,0.003,0.002,0.023,0.026
SA053,371389.7742,7217622.115,A,midden_1,0.434,3.112,0,0.012,86.958,0.23,3.131,0.751,0.082,0.056,0.736,5.223,0.231,0.007,0.008,0.095,2.419,0.006,0.002,0.007,0.027,0.028
SA054,371389.843,7217620.039,A,midden_1,0.269,3.29,0,0.011,84.357,0.143,2.236,0.719,0.081,0.054,0.657,8.772,0.215,0.009,0.007,0.118,2.557,0.007,0.002,0.01,0.025,0.024
SA055,371391.8142,7217619.988,A,undetermined,0.284,3.38,0,0.012,87.893,0.15,2.814,0.771,0.094,0.061,0.802,4.379,0.228,0.005,0.008,0.102,2.627,0.006,0.002,0.005,0.024,0.025
SA056,371391.7853,7217621.968,A,undetermined,0.397,3.369,0,0.012,89.841,0.21,3.479,0.829,0.102,0.058,0.806,1.628,0.25,0.01,0.008,0.099,2.619,0.005,0.002,0.003,0.027,0.022
SA057,371391.6297,7217624.032,A,undetermined,0.38,3.868,0,0.011,90.421,0.201,3.199,0.807,0.104,0.064,0.837,0.897,0.257,0.011,0.008,0.128,3.007,0.006,0.003,0.002,0.023,0.021
SA058,371391.7233,7217626.02,A,undetermined,0.387,3.663,0,0.011,90.479,0.205,3.632,0.809,0.089,0.058,0.817,0.614,0.272,0.008,0.008,0.105,2.848,0.004,0.003,0.002,0.024,0.022
SA059,371391.7915,7217628.004,A,undetermined,0.293,3.606,0,0.014,90.596,0.155,3.665,0.818,0.088,0.062,0.868,0.474,0.289,0.011,0.01,0.101,2.803,0.004,0.003,0.002,0.024,0.026
SA06,371383.8055,7217621.985,A,midden_1,0.242,3.223,0,0.015,90.327,0.128,3.351,0.828,0.092,0.066,0.793,1.464,0.275,0.008,0.01,0.086,2.505,0.005,0.002,0.002,0.03,0.024
SA060,371391.8225,7217629.948,A,undetermined,0.251,2.725,0,0.004,91.614,0.133,3.795,0.778,0.084,0.06,0.68,0.376,0.246,0.007,LOD,0.06,2.118,0.003,0.002,LOD,0.024,0.016
SA061,371393.9444,7217630.052,A,undetermined,0.222,3.738,0,0.015,90.58,0.117,3.354,0.797,0.093,0.06,0.899,0.707,0.279,0.012,0.01,0.131,2.905,0.006,0.003,0.002,0.02,0.021
SA062,371393.832,7217627.969,A,undetermined,0.303,3.54,0,0.01,90.568,0.16,3.747,0.82,0.093,0.057,0.801,0.551,0.282,0.008,0.007,0.088,2.752,0.004,0.002,0.002,0.028,0.028
SA063,371393.746,7217626.031,A,undetermined,0.28,3.727,0,0.012,90.377,0.148,3.522,0.794,0.09,0.052,0.806,0.835,0.288,0.009,0.008,0.101,2.897,0.006,0.003,0.002,0.034,0.024
SA064,371393.6352,7217624.187,A,undetermined,0.404,3.527,0,0.014,90.32,0.214,3.745,0.787,0.095,0.057,0.808,0.778,0.275,0.009,0.009,0.101,2.742,0.005,0.003,0.002,0.024,0.025
SA065,371393.8626,7217622.01,A,undetermined,0.325,3.666,0,0.014,90.641,0.172,3.3,0.796,0.093,0.061,0.815,0.831,0.257,0.009,0.009,0.101,2.85,0.005,0.003,0.002,0.029,0.024
SA066,371393.8467,7217619.986,A,undetermined,0.316,3.59,0,0.017,90.096,0.167,3.238,0.818,0.107,0.059,0.892,1.345,0.287,0.011,0.011,0.108,2.79,0.005,0.003,0.003,0.026,0.03
SA07,371383.8646,7217619.965,A,midden_1,0.204,3.25,0,0.015,87.263,0.108,2.957,0.723,0.077,0.059,0.798,4.995,0.243,0.01,0.011,0.158,2.526,0.006,0.003,0.006,0.026,0.029
SA08,371381.9405,7217619.838,A,undetermined,0.336,3.444,0,0.015,90.833,0.178,3.272,0.828,0.098,0.062,0.82,0.822,0.262,0.009,0.01,0.072,2.677,0.005,0.002,0.002,0.027,0.021
SA09,371379.9111,7217619.847,A,undetermined,0.244,3.155,0,0.011,90.752,0.129,3.947,0.829,0.077,0.062,0.82,0.503,0.277,0.008,0.007,0.076,2.452,0.003,0.002,LOD,0.027,0.024
SB01,371395.895,7217629.895,A,undetermined,0.299,3.606,0,0.012,90.645,0.158,3.612,0.763,0.089,0.055,0.907,0.511,0.288,0.009,0.008,0.092,2.803,0.003,0.003,0.002,0.028,0.023
SB010,371397.9346,7217626.076,A,undetermined,0.311,3.318,0,0.011,91.021,0.164,3.438,0.785,0.089,0.063,0.768,0.644,0.283,0.008,0.007,0.088,2.579,0.004,0.003,0.002,0.028,0.023
SB011,371397.8044,7217628.161,A,undetermined,0.262,3.2015,0.1455,0.012,91.2005,0.1385,3.497,0.7515,0.087,0.0655,0.792,0.4415,0.287,0.009,0.008,0.0875,2.4885,0.0045,0.003,LOD,0.029,0.0195
SB012,371397.9263,7217630.017,A,undetermined,0.286,2.973,0,0.013,91.213,0.152,3.579,0.816,0.085,0.063,0.737,0.628,0.268,0.008,0.009,0.076,2.311,0.003,0.002,0.002,0.027,0.019
SB013,371399.7418,7217630.194,A,undetermined,0.362,3.089,0,0.01,91.047,0.191,3.664,0.809,0.093,0.108,0.81,0.453,0.263,0.007,0.007,0.083,2.401,0.003,0.002,LOD,0.033,0.021
SB014,371399.9237,7217627.924,A,undetermined,0.249,3.024,0,0.012,91.382,0.132,3.581,0.787,0.086,0.061,0.722,0.465,0.281,0.006,0.008,0.084,2.351,0.003,0.002,LOD,0.027,0.02
SB015,371399.8626,7217625.816,A,undetermined,0.287,3.048,0,0.009,91.399,0.152,3.463,0.794,0.101,0.071,0.74,0.482,0.263,0.006,0.006,0.094,2.369,0.004,0.002,LOD,0.026,0.022
SB016,371399.8624,7217623.918,A,undetermined,0.249,3.328,0,0.013,91.072,0.132,3.562,0.777,0.089,0.058,0.782,0.494,0.283,0.008,0.009,0.088,2.587,0.004,0.002,0.002,0.03,0.02
SB017,371399.6978,7217622.013,A,undetermined,0.347,3.342,0,0.012,90.707,0.183,3.625,0.792,0.099,0.063,0.841,0.644,0.278,0.006,0.008,0.089,2.598,0.004,0.003,0.002,0.033,0.023
SB018,371399.7,7217620.091,A,undetermined,0.318,3.254,0,0.016,90.761,0.168,3.437,0.78,0.098,0.057,0.828,0.878,0.273,0.009,0.011,0.106,2.53,0.006,0.003,0.002,0.028,0.023
SB019,371401.7112,7217619.948,A,undetermined,0.281,3.016,0.677,0.009,90.8,0.149,3.706,0.797,0.087,0.068,0.777,0.458,0.25,0.006,0.006,0.08,2.344,0.003,0.002,LOD,0.033,0.02
SB02,371395.6532,7217628.037,A,undetermined,0.255,3.463,0,0.013,90.911,0.135,3.45,0.786,0.093,0.06,0.852,0.575,0.275,0.008,0.009,0.097,2.692,0.004,0.003,0.002,0.027,0.019
SB020,371401.9251,7217622.016,A,undetermined,0.351,3.211,0.328,0.012,90.749,0.186,3.562,0.763,0.096,0.07,0.787,0.66,0.268,0.008,0.008,0.098,2.496,0.004,0.003,0.002,0.026,0.016
SB021,371402.0069,7217623.857,A,undetermined,0.298,3.297,0,0.01,90.893,0.157,3.526,0.819,0.1,0.063,0.77,0.676,0.262,0.009,0.007,0.087,2.563,0.003,0.002,0.002,0.031,0.025
SB022,371401.964,7217626.157,A,undetermined,0.287,3.347,0,0.013,91.074,0.152,3.416,0.794,0.099,0.057,0.74,0.631,0.261,0.008,0.009,0.095,2.601,0.004,0.002,0.002,0.026,0.026
SB023,371401.8849,7217628.007,A,undetermined,0.243,2.728,0,0.01,91.53,0.129,3.724,0.803,0.087,0.065,0.685,0.475,0.227,0.006,0.007,0.079,2.121,0.003,0.002,LOD,0.031,0.023
SB024,371401.9731,7217629.902,A,undetermined,0.26,2.953,0,0.01,91.29,0.138,3.746,0.828,0.091,0.061,0.712,0.414,0.281,0.006,0.007,0.071,2.295,0.003,0.002,LOD,0.031,0.02
SB025,371403.8776,7217629.863,A,undetermined,0.371,3.163,0,0.01,90.936,0.196,3.868,0.794,0.094,0.058,0.7,0.488,0.267,0.009,0.007,0.067,2.459,0.003,0.002,LOD,0.031,0.018
SB026,371403.9944,7217628.011,A,undetermined,0.278,2.87,0,0.01,91.487,0.147,3.72,0.782,0.086,0.058,0.677,0.436,0.245,0.006,0.007,0.071,2.231,0.003,0.002,LOD,0.025,0.017
SB027,371403.8143,7217626.045,A,undetermined,0.199,3.458,0,0.011,90.932,0.106,3.417,0.801,0.101,0.066,0.781,0.672,0.268,0.008,0.007,0.092,2.688,0.004,0.003,0.002,0.03,0.02
SB028,371403.9639,7217624.155,A,undetermined,0.278,3.149,0,0.011,90.998,0.147,3.561,0.824,0.105,0.066,0.912,0.539,0.254,0.007,0.007,0.077,2.447,0.003,0.002,LOD,0.023,0.022
SB029,371403.999,7217622.031,A,undetermined,0.312,3.221,0.093666667,0.016333333,90.79466667,0.165333333,3.701,0.786333333,0.096333333,0.061,0.773333333,0.629333333,0.259333333,0.008,0.011333333,0.093666667,2.503666667,0.004,0.002,0.002,0.029333333,0.020666667
SB03,371395.7854,7217626.083,A,undetermined,0.355,3.29,0,0.012,90.914,0.188,3.574,0.783,0.087,0.058,0.814,0.563,0.3,0.007,0.008,0.085,2.558,0.004,0.003,0.002,0.031,0.02
SB030,371403.9436,7217620.245,A,undetermined,0.29475,3.3285,0,0.01325,90.72825,0.156,3.74175,0.82475,0.09775,0.0615,0.7865,0.5495,0.27775,0.00825,0.00925,0.11125,2.5875,0.0045,0.003,0.002,0.02675,0.022
SB031,371403.8435,7217618.073,A,undetermined,0.266,3.418,0,0.014,90.845,0.141,3.547,0.794,0.1,0.06,0.828,0.577,0.271,0.011,0.009,0.101,2.657,0.004,0.003,0.002,0.028,0.02
SB032,371403.9495,7217616.141,A,undetermined,0.335,3.739,0,0.014,90.514,0.177,3.365,0.748,0.1,0.056,0.873,0.767,0.284,0.008,0.01,0.121,2.906,0.005,0.003,0.002,0.032,0.022
SB033,371403.9139,7217614.009,A,undetermined,0.249,3.271,0,0.011,90.874,0.132,3.325,0.729,0.109,0.058,0.83,0.966,0.264,0.009,0.008,0.1,2.543,0.005,0.003,0.002,0.02,0.019
SB034,371403.7951,7217612.047,A,undetermined,0.287,3.16,0,0.013,90.754,0.152,3.524,0.714,0.103,0.058,1.014,0.783,0.267,0.008,0.009,0.101,2.456,0.005,0.003,0.002,0.026,0.021
SB035,371403.7541,7217610.119,A,undetermined,0.296,3.289,0.451,0.012,90.557,0.157,3.452,0.766,0.101,0.057,0.826,0.763,0.308,0.008,0.008,0.104,2.557,0.004,0.003,0.002,0.03,0.021
SB036,371401.9483,7217609.999,A,undetermined,0.331,3.678,0,0.018,90.298,0.175,3.361,0.738,0.086,0.068,1.069,0.832,0.294,0.01,0.012,0.129,2.859,0.006,0.003,0.002,0.026,0.024
SB037,371401.7009,7217612.157,A,undetermined,0.275,3.149,0,0.016,91.167,0.146,3.414,0.676,0.095,0.063,0.815,0.704,0.287,0.01,0.011,0.104,2.448,0.005,0.002,0.002,0.029,0.019
SB038,371401.675,7217614.12,A,undetermined,0.276,3.354,0,0.011,90.793,0.146,3.443,0.785,0.093,0.062,0.83,0.782,0.269,0.009,0.007,0.108,2.607,0.005,0.003,0.002,0.031,0.022
SB039,371401.8358,7217616.143,A,undetermined,0.264,3.56,0,0.015,90.684,0.14,3.374,0.78,0.107,0.06,0.821,0.819,0.263,0.007,0.01,0.1,2.767,0.006,0.003,0.002,0.032,0.023
SB04,371395.8646,7217623.995,A,undetermined,0.233,3.199,0,0.009,91.021,0.124,3.654,0.815,0.091,0.059,0.743,0.596,0.265,0.009,0.006,0.072,2.487,0.004,0.003,0.002,0.031,0.017
SB040,371401.8135,7217618.222,A,undetermined,0.27,3.026,0,0.012,91.362,0.143,3.59,0.807,0.094,0.058,0.727,0.477,0.229,0.008,0.008,0.086,2.352,0.003,0.002,LOD,0.03,0.019
SB041,371399.9577,7217618.073,A,undetermined,0.315,3.228,0,0.014,90.526,0.167,3.918,0.803,0.1,0.061,0.779,0.687,0.277,0.008,0.01,0.087,2.509,0.004,0.003,0.002,0.034,0.024
SB042,371399.8959,7217616.078,A,undetermined,0.272,3.299,0,0.016,90.692,0.144,3.739,0.806,0.096,0.057,0.819,0.656,0.249,0.009,0.011,0.091,2.565,0.004,0.003,0.002,0.032,0.024
SB043,371399.7569,7217614.079,A,undetermined,0.255,3.249,0,0.017,90.701,0.135,3.665,0.807,0.104,0.055,0.788,0.773,0.269,0.008,0.011,0.095,2.525,0.006,0.003,0.002,0.03,0.021
SB044,371399.77,7217612.232,A,undetermined,0.311,3.555,0,0.017,90.195,0.165,3.414,0.806,0.123,0.056,0.851,1.158,0.261,0.01,0.012,0.121,2.764,0.008,0.003,0.003,0.028,0.019
SB045,371399.9313,7217609.766,A,undetermined,0.236,3.137,0,0.013,90.272,0.125,3.253,0.802,0.125,0.058,0.795,1.683,0.24,0.006,0.009,0.133,2.438,0.008,0.003,0.003,0.026,0.02
SB046,371397.8504,7217610.017,A,undetermined,0.308,3.251,0,0.013,90.016,0.163,3.361,0.796,0.125,0.061,0.808,1.653,0.256,0.008,0.009,0.153,2.527,0.01,0.003,0.003,0.026,0.021
SB047,371397.9087,7217612.106,A,undetermined,0.222,3.504,0,0.014,90.403,0.118,3.342,0.834,0.109,0.059,0.876,1.044,0.281,0.009,0.009,0.133,2.723,0.008,0.003,0.003,0.024,0.02
SB048,371397.8654,7217614.1,A,undetermined,0.338,3.203,0,0.011,90.586,0.179,3.7,0.826,0.108,0.06,0.833,0.771,0.271,0.009,0.008,0.094,2.49,0.005,0.003,0.002,0.028,0.025
SB049,371397.9943,7217616.061,A,undetermined,0.319,3.254,0,0.015,90.607,0.169,3.546,0.817,0.095,0.057,0.81,0.931,0.263,0.01,0.01,0.091,2.53,0.005,0.003,0.002,0.028,0.024
SB05,371395.9314,7217622.01,A,undetermined,0.258,3.369,0,0.014,90.727,0.137,3.674,0.799,0.1,0.057,0.815,0.632,0.261,0.011,0.009,0.095,2.619,0.005,0.003,0.002,0.034,0.018
SB050,371397.7189,7217617.878,A,undetermined,0.306333333,3.260666667,0,0.013,90.76933333,0.162,3.623,0.8,0.102,0.056666667,0.799333333,0.724666667,0.261666667,0.009,0.009,0.089,2.534333333,0.005333333,0.003,0.002,0.025333333,0.022
SB051,371395.8961,7217618.158,A,undetermined,0.34,3.398,0,0.013,90.547,0.18,3.626,0.766,0.086,0.061,0.857,0.754,0.289,0.011,0.009,0.104,2.641,0.004,0.003,0.002,0.028,0.028
SB052,371395.72,7217616.072,A,undetermined,0.294,3.616,0,0.013,90.319,0.156,3.414,0.812,0.098,0.059,0.849,1.04,0.25,0.008,0.009,0.109,2.811,0.006,0.003,0.002,0.026,0.027
SB053,371395.7235,7217614.069,A,undetermined,0.274,3.307,0,0.012,90.725,0.145,3.325,0.792,0.109,0.057,0.829,1,0.28,0.008,0.009,0.094,2.571,0.006,0.003,0.002,0.026,0.021
SB054,371395.7476,7217612.153,A,undetermined,0.263,3.668,0.346,0.015,89.957,0.139,3.322,0.778,0.102,0.061,0.897,1.23,0.253,0.009,0.011,0.118,2.851,0.008,0.003,0.003,0.026,0.02
SB055,371393.8372,7217612.025,A,undetermined,0.377,3.863,0,0.017,89.984,0.199,3.085,0.776,0.097,0.063,0.935,1.361,0.239,0.011,0.012,0.168,3.003,0.008,0.003,0.003,0.024,0.025
SB056,371393.7648,7217614.067,A,undetermined,0.477,3.548,0,0.013,89.971,0.253,3.525,0.791,0.106,0.058,0.856,1.223,0.259,0.006,0.009,0.121,2.758,0.007,0.003,0.003,0.023,0.025
SB057,371393.8089,7217616.11,A,undetermined,0.286,3.339,0,0.015,90.601,0.151,3.426,0.82,0.103,0.058,0.795,1.013,0.256,0.01,0.01,0.092,2.596,0.006,0.002,0.002,0.027,0.025
SB058,371393.7502,7217618.049,A,undetermined,0.292,3.245,0,0.012,90.659,0.155,3.4,0.831,0.098,0.061,0.819,1.033,0.255,0.01,0.008,0.086,2.522,0.005,0.003,0.002,0.025,0.026
SB059,371391.8903,7217618.062,A,undetermined,0.418,3.373,0,0.014,89.587,0.221,3.231,0.786,0.107,0.058,0.84,2.12,0.243,0.009,0.01,0.106,2.622,0.005,0.003,0.004,0.027,0.02
SB06,371395.7101,7217619.988,A,undetermined,0.307,3.496,0,0.015,90.655,0.162,3.432,0.798,0.09,0.062,0.82,0.809,0.273,0.009,0.01,0.103,2.717,0.006,0.003,0.002,0.027,0.02
SB060,371391.7971,7217616.071,A,undetermined,0.274,3.252,0,0.009,90.799,0.145,3.418,0.785,0.097,0.056,0.744,1.042,0.231,0.007,0.006,0.079,2.528,0.005,0.002,0.002,0.026,0.025
SB061,371391.7816,7217613.924,A,undetermined,0.28,3.67,0,0.015,90.281,0.148,3.518,0.785,0.089,0.06,0.863,0.958,0.264,0.009,0.01,0.094,2.853,0.007,0.003,0.002,0.027,0.026
SB062,371391.8514,7217612.11,A,undetermined,0.409,3.585,0,0.016,90.446,0.216,3.172,0.782,0.099,0.056,0.904,1.019,0.279,0.01,0.011,0.151,2.787,0.007,0.003,0.003,0.023,0.026
